APAS-TR PPP Solutions 
GPS-  Combination
 Epoch   YEAR    DOY     Sec of GPSweek       X-coordinates   Y-coordinates   Z coordinates      GPS rec clkoff     ZTD         ISB-GLO       ISB-GAL        ISB-BDS2      ISB-BDS3        ISB-J
  171     2023   344          5100.0000       -2713833.5249    5303935.1616   -2269513.5470       2.02224211        2.4475      0.000000       0.000000        0.000000      0.000000       0.000000
  172     2023   344          5130.0000       -2713833.5247    5303935.1611   -2269513.5466       1.95902932        2.4478      0.000000       0.000000        0.000000      0.000000       0.000000
  173     2023   344          5160.0000       -2713833.5247    5303935.1610   -2269513.5463       2.13606286        2.4480      0.000000       0.000000        0.000000      0.000000       0.000000
  174     2023   344          5190.0000       -2713833.5239    5303935.1600   -2269513.5457       1.99256324        2.4486      0.000000       0.000000        0.000000      0.000000       0.000000
  175     2023   344          5220.0000       -2713833.5232    5303935.1586   -2269513.5449       2.20747439        2.4496      0.000000       0.000000        0.000000      0.000000       0.000000
  176     2023   344          5250.0000       -2713833.5224    5303935.1574   -2269513.5443       1.93930461        2.4504      0.000000       0.000000        0.000000      0.000000       0.000000
  177     2023   344          5280.0000       -2713833.5218    5303935.1567   -2269513.5439       1.93058662        2.4511      0.000000       0.000000        0.000000      0.000000       0.000000
  178     2023   344          5310.0000       -2713833.5217    5303935.1564   -2269513.5438       2.22182354        2.4512      0.000000       0.000000        0.000000      0.000000       0.000000
  179     2023   344          5340.0000       -2713833.5209    5303935.1557   -2269513.5434       2.12569332        2.4515      0.000000       0.000000        0.000000      0.000000       0.000000
  180     2023   344          5370.0000       -2713833.5207    5303935.1558   -2269513.5434       2.02395153        2.4514      0.000000       0.000000        0.000000      0.000000       0.000000
  181     2023   344          5400.0000       -2713833.5204    5303935.1553   -2269513.5432       2.02431180        2.4516      0.000000       0.000000        0.000000      0.000000       0.000000
